State,City,UnleadedPetrol,PremiumUnleadedPetrol,UnleadedPetrol E10,UnleadedPetrol 98,Diesel,BiodieselB5,Date
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,236.73,N/A,2026-09-05
NEW SOUTH WALES,SYDNEY,198.88,208.82,198.91,222.12,234.53,N/A,2026-09-05
NORTHERN TERRITORY,DARWIN,203.74,216.56,N/A,N/A,240.27,N/A,2026-09-05
QUEENSLAND,BRISBANE,197.12,206.98,198.02,220.51,235.33,241.58,2026-09-05
QUEENSLAND,CAIRNS,203.93,219.11,N/A,N/A,239.06,N/A,2026-09-05
QUEENSLAND,GLADSTONE,203.86,212.97,N/A,N/A,239.64,N/A,2026-09-05
QUEENSLAND,MACKAY,204.19,N/A,N/A,N/A,239.38,N/A,2026-09-05
QUEENSLAND,TOWNSVILLE,203.68,214.74,N/A,229.32,238.84,N/A,2026-09-05
QUEENSLAND,WEIPA,228.32,N/A,N/A,N/A,251.79,N/A,2026-09-05
SOUTH AUSTRALIA,ADELAIDE,197.67,207.17,199.19,221.75,236.74,N/A,2026-09-05
SOUTH AUSTRALIA,PORT LINCOLN,206.67,N/A,N/A,232.35,245.34,N/A,2026-09-05
TASMANIA,DEVONPORT,203.03,215.45,N/A,N/A,240.68,N/A,2026-09-05
TASMANIA,HOBART,203.12,215.50,N/A,230.67,239.93,N/A,2026-09-05
VICTORIA,GEELONG,196.31,206.15,N/A,219.98,236.60,N/A,2026-09-05
VICTORIA,MELBOURNE,196.31,206.15,197.19,219.98,236.60,N/A,2026-09-05
WESTERN AUSTRALIA,BROOME,247.53,258.08,N/A,N/A,265.84,N/A,2026-09-05
WESTERN AUSTRALIA,COCOS Island,N/A,418.29,N/A,N/A,278.05,N/A,2026-09-05
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,254.65,N/A,2026-09-05
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,239.40,N/A,2026-09-05
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,254.65,N/A,2026-09-05
WESTERN AUSTRALIA,PERTH,197.84,211.81,N/A,225.46,233.17,N/A,2026-09-05
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,263.78,N/A,2026-09-05
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.40,N/A,2026-09-04
NEW SOUTH WALES,SYDNEY,195.99,205.92,196.04,219.22,231.39,N/A,2026-09-04
NORTHERN TERRITORY,DARWIN,200.89,213.68,N/A,N/A,237.18,N/A,2026-09-04
QUEENSLAND,BRISBANE,194.24,204.08,195.16,217.60,230.01,236.48,2026-09-04
QUEENSLAND,CAIRNS,201.04,216.18,N/A,N/A,235.93,N/A,2026-09-04
QUEENSLAND,GLADSTONE,200.96,210.05,N/A,N/A,234.31,N/A,2026-09-04
QUEENSLAND,MACKAY,201.28,N/A,N/A,N/A,234.06,N/A,2026-09-04
QUEENSLAND,TOWNSVILLE,200.78,211.81,N/A,226.38,235.71,N/A,2026-09-04
QUEENSLAND,WEIPA,225.39,N/A,N/A,N/A,246.40,N/A,2026-09-04
SOUTH AUSTRALIA,ADELAIDE,194.78,204.27,196.32,218.83,231.41,N/A,2026-09-04
SOUTH AUSTRALIA,PORT LINCOLN,203.76,N/A,N/A,229.44,239.97,N/A,2026-09-04
TASMANIA,DEVONPORT,200.11,212.52,N/A,N/A,234.21,N/A,2026-09-04
TASMANIA,HOBART,200.20,212.58,N/A,227.73,233.46,N/A,2026-09-04
VICTORIA,GEELONG,193.42,203.26,N/A,217.09,231.28,N/A,2026-09-04
VICTORIA,MELBOURNE,193.42,203.26,194.33,217.09,231.28,N/A,2026-09-04
WESTERN AUSTRALIA,BROOME,244.19,254.71,N/A,N/A,259.33,N/A,2026-09-04
WESTERN AUSTRALIA,COCOS Island,N/A,415.68,N/A,N/A,272.24,N/A,2026-09-04
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.26,N/A,2026-09-04
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,233.00,N/A,2026-09-04
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.26,N/A,2026-09-04
WESTERN AUSTRALIA,PERTH,194.99,208.93,N/A,222.57,226.75,N/A,2026-09-04
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.36,N/A,2026-09-04
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.11,N/A,2026-09-03
NEW SOUTH WALES,SYDNEY,194.70,204.63,194.76,217.93,231.09,N/A,2026-09-03
NORTHERN TERRITORY,DARWIN,199.64,212.41,N/A,N/A,236.91,N/A,2026-09-03
QUEENSLAND,BRISBANE,192.96,202.81,193.88,216.33,229.72,236.28,2026-09-03
QUEENSLAND,CAIRNS,199.77,214.89,N/A,N/A,235.63,N/A,2026-09-03
QUEENSLAND,GLADSTONE,199.67,208.75,N/A,N/A,234.01,N/A,2026-09-03
QUEENSLAND,MACKAY,199.99,N/A,N/A,N/A,233.76,N/A,2026-09-03
QUEENSLAND,TOWNSVILLE,199.52,210.51,N/A,225.07,235.41,N/A,2026-09-03
QUEENSLAND,WEIPA,224.06,N/A,N/A,N/A,246.04,N/A,2026-09-03
SOUTH AUSTRALIA,ADELAIDE,193.50,202.99,195.03,217.56,231.12,N/A,2026-09-03
SOUTH AUSTRALIA,PORT LINCOLN,202.46,N/A,N/A,228.16,239.64,N/A,2026-09-03
TASMANIA,DEVONPORT,198.81,211.22,N/A,N/A,233.89,N/A,2026-09-03
TASMANIA,HOBART,198.90,211.28,N/A,226.44,233.15,N/A,2026-09-03
VICTORIA,GEELONG,192.14,201.97,N/A,215.80,230.99,N/A,2026-09-03
VICTORIA,MELBOURNE,192.14,201.97,193.05,215.80,230.99,N/A,2026-09-03
WESTERN AUSTRALIA,BROOME,242.52,253.04,N/A,N/A,258.98,N/A,2026-09-03
WESTERN AUSTRALIA,COCOS Island,N/A,414.53,N/A,N/A,271.99,N/A,2026-09-03
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.00,N/A,2026-09-03
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,232.73,N/A,2026-09-03
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.00,N/A,2026-09-03
WESTERN AUSTRALIA,PERTH,193.72,207.67,N/A,221.31,226.50,N/A,2026-09-03
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.09,N/A,2026-09-03
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.72,N/A,2026-09-02
NEW SOUTH WALES,SYDNEY,193.47,203.40,193.55,216.70,231.69,N/A,2026-09-02
NORTHERN TERRITORY,DARWIN,198.47,211.26,N/A,N/A,237.59,N/A,2026-09-02
QUEENSLAND,BRISBANE,191.74,201.59,192.69,215.11,230.35,236.90,2026-09-02
QUEENSLAND,CAIRNS,198.55,213.64,N/A,N/A,236.24,N/A,2026-09-02
QUEENSLAND,GLADSTONE,198.43,207.50,N/A,N/A,234.63,N/A,2026-09-02
QUEENSLAND,MACKAY,198.74,N/A,N/A,N/A,234.38,N/A,2026-09-02
QUEENSLAND,TOWNSVILLE,198.30,209.25,N/A,223.82,236.02,N/A,2026-09-02
QUEENSLAND,WEIPA,222.75,N/A,N/A,N/A,246.53,N/A,2026-09-02
SOUTH AUSTRALIA,ADELAIDE,192.28,201.77,193.84,216.34,231.73,N/A,2026-09-02
SOUTH AUSTRALIA,PORT LINCOLN,201.17,N/A,N/A,226.94,240.19,N/A,2026-09-02
TASMANIA,DEVONPORT,197.55,209.96,N/A,N/A,234.45,N/A,2026-09-02
TASMANIA,HOBART,197.64,210.01,N/A,225.17,233.71,N/A,2026-09-02
VICTORIA,GEELONG,190.93,200.76,N/A,214.59,231.61,N/A,2026-09-02
VICTORIA,MELBOURNE,190.93,200.76,191.86,214.59,231.61,N/A,2026-09-02
WESTERN AUSTRALIA,BROOME,240.47,250.99,N/A,N/A,259.49,N/A,2026-09-02
WESTERN AUSTRALIA,COCOS Island,N/A,413.47,N/A,N/A,272.62,N/A,2026-09-02
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.69,N/A,2026-09-02
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,233.39,N/A,2026-09-02
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.69,N/A,2026-09-02
WESTERN AUSTRALIA,PERTH,192.57,206.50,N/A,220.15,227.18,N/A,2026-09-02
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.76,N/A,2026-09-02
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,233.57,N/A,2026-09-01
NEW SOUTH WALES,SYDNEY,193.52,203.47,193.62,216.78,233.53,N/A,2026-09-01
NORTHERN TERRITORY,DARWIN,198.63,211.42,N/A,N/A,239.51,N/A,2026-09-01
QUEENSLAND,BRISBANE,191.82,201.67,192.79,215.20,232.22,238.68,2026-09-01
QUEENSLAND,CAIRNS,198.62,213.70,N/A,N/A,238.08,N/A,2026-09-01
QUEENSLAND,GLADSTONE,198.46,207.56,N/A,N/A,236.49,N/A,2026-09-01
QUEENSLAND,MACKAY,198.76,N/A,N/A,N/A,236.24,N/A,2026-09-01
QUEENSLAND,TOWNSVILLE,198.36,209.30,N/A,223.87,237.86,N/A,2026-09-01
QUEENSLAND,WEIPA,222.70,N/A,N/A,N/A,248.26,N/A,2026-09-01
SOUTH AUSTRALIA,ADELAIDE,192.36,201.87,193.94,216.44,233.59,N/A,2026-09-01
SOUTH AUSTRALIA,PORT LINCOLN,201.17,N/A,N/A,227.04,241.95,N/A,2026-09-01
TASMANIA,DEVONPORT,197.57,209.99,N/A,N/A,236.25,N/A,2026-09-01
TASMANIA,HOBART,197.66,210.05,N/A,225.21,235.50,N/A,2026-09-01
VICTORIA,GEELONG,191.00,200.85,N/A,214.69,233.48,N/A,2026-09-01
VICTORIA,MELBOURNE,191.00,200.85,191.95,214.69,233.48,N/A,2026-09-01
WESTERN AUSTRALIA,BROOME,239.54,250.09,N/A,N/A,261.22,N/A,2026-09-01
WESTERN AUSTRALIA,COCOS Island,N/A,413.61,N/A,N/A,274.38,N/A,2026-09-01
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,250.65,N/A,2026-09-01
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,235.30,N/A,2026-09-01
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,250.65,N/A,2026-09-01
WESTERN AUSTRALIA,PERTH,192.70,206.66,N/A,220.32,229.11,N/A,2026-09-01
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,259.69,N/A,2026-09-01
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,235.99,N/A,2026-08-29
NEW SOUTH WALES,SYDNEY,193.74,203.70,193.85,217.02,235.94,N/A,2026-08-29
NORTHERN TERRITORY,DARWIN,198.77,211.59,N/A,N/A,241.85,N/A,2026-08-29
QUEENSLAND,BRISBANE,192.05,201.93,193.03,215.46,234.62,240.92,2026-08-29
QUEENSLAND,CAIRNS,198.80,213.86,N/A,N/A,240.43,N/A,2026-08-29
QUEENSLAND,GLADSTONE,198.61,207.71,N/A,N/A,238.82,N/A,2026-08-29
QUEENSLAND,MACKAY,198.91,N/A,N/A,N/A,238.59,N/A,2026-08-29
QUEENSLAND,TOWNSVILLE,198.52,209.43,N/A,224.02,240.16,N/A,2026-08-29
QUEENSLAND,WEIPA,222.77,N/A,N/A,N/A,250.47,N/A,2026-08-29
SOUTH AUSTRALIA,ADELAIDE,192.62,202.15,194.23,216.72,236.02,N/A,2026-08-29
SOUTH AUSTRALIA,PORT LINCOLN,201.41,N/A,N/A,227.36,244.38,N/A,2026-08-29
TASMANIA,DEVONPORT,197.89,210.32,N/A,N/A,238.71,N/A,2026-08-29
TASMANIA,HOBART,197.98,210.38,N/A,225.56,237.99,N/A,2026-08-29
VICTORIA,GEELONG,191.22,201.08,N/A,214.93,235.80,N/A,2026-08-29
VICTORIA,MELBOURNE,191.22,201.08,192.20,214.93,235.80,N/A,2026-08-29
WESTERN AUSTRALIA,BROOME,238.78,249.35,N/A,N/A,263.45,N/A,2026-08-29
WESTERN AUSTRALIA,COCOS Island,N/A,413.76,N/A,N/A,276.56,N/A,2026-08-29
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,253.03,N/A,2026-08-29
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,237.82,N/A,2026-08-29
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,253.03,N/A,2026-08-29
WESTERN AUSTRALIA,PERTH,193.03,207.00,N/A,220.67,231.61,N/A,2026-08-29
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,262.02,N/A,2026-08-29
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,239.91,N/A,2026-08-28
NEW SOUTH WALES,SYDNEY,195.17,205.15,195.29,218.48,239.84,N/A,2026-08-28
NORTHERN TERRITORY,DARWIN,200.28,213.11,N/A,N/A,245.83,N/A,2026-08-28
QUEENSLAND,BRISBANE,193.52,203.41,194.50,216.96,238.54,244.66,2026-08-28
QUEENSLAND,CAIRNS,200.27,215.30,N/A,N/A,244.34,N/A,2026-08-28
QUEENSLAND,GLADSTONE,200.04,209.15,N/A,N/A,242.75,N/A,2026-08-28
QUEENSLAND,MACKAY,200.33,N/A,N/A,N/A,242.52,N/A,2026-08-28
QUEENSLAND,TOWNSVILLE,199.98,210.86,N/A,225.47,244.08,N/A,2026-08-28
QUEENSLAND,WEIPA,224.14,N/A,N/A,N/A,254.29,N/A,2026-08-28
SOUTH AUSTRALIA,ADELAIDE,194.08,203.62,195.69,218.22,239.95,N/A,2026-08-28
SOUTH AUSTRALIA,PORT LINCOLN,202.81,N/A,N/A,228.86,248.23,N/A,2026-08-28
TASMANIA,DEVONPORT,199.29,211.74,N/A,N/A,242.57,N/A,2026-08-28
TASMANIA,HOBART,199.38,211.79,N/A,226.99,241.85,N/A,2026-08-28
VICTORIA,GEELONG,192.68,202.55,N/A,216.41,239.72,N/A,2026-08-28
VICTORIA,MELBOURNE,192.68,202.55,193.66,216.41,239.72,N/A,2026-08-28
WESTERN AUSTRALIA,BROOME,239.49,250.07,N/A,N/A,267.27,N/A,2026-08-28
WESTERN AUSTRALIA,COCOS Island,N/A,415.16,N/A,N/A,280.18,N/A,2026-08-28
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,257.03,N/A,2026-08-28
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,241.79,N/A,2026-08-28
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,257.03,N/A,2026-08-28
WESTERN AUSTRALIA,PERTH,194.55,208.54,N/A,222.22,235.58,N/A,2026-08-28
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,266.01,N/A,2026-08-28
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,241.65,N/A,2026-08-27
NEW SOUTH WALES,SYDNEY,195.55,205.52,195.69,218.87,241.57,N/A,2026-08-27
NORTHERN TERRITORY,DARWIN,200.74,213.59,N/A,N/A,247.63,N/A,2026-08-27
QUEENSLAND,BRISBANE,193.92,203.81,194.92,217.37,240.31,246.32,2026-08-27
QUEENSLAND,CAIRNS,200.66,215.68,N/A,N/A,246.08,N/A,2026-08-27
QUEENSLAND,GLADSTONE,200.40,209.53,N/A,N/A,244.49,N/A,2026-08-27
QUEENSLAND,MACKAY,200.68,N/A,N/A,N/A,244.26,N/A,2026-08-27
QUEENSLAND,TOWNSVILLE,200.38,211.22,N/A,225.84,245.82,N/A,2026-08-27
QUEENSLAND,WEIPA,224.41,N/A,N/A,N/A,255.90,N/A,2026-08-27
SOUTH AUSTRALIA,ADELAIDE,194.48,204.02,196.11,218.63,241.70,N/A,2026-08-27
SOUTH AUSTRALIA,PORT LINCOLN,203.14,N/A,N/A,229.26,249.89,N/A,2026-08-27
TASMANIA,DEVONPORT,199.64,212.09,N/A,N/A,244.26,N/A,2026-08-27
TASMANIA,HOBART,199.73,212.15,N/A,227.35,243.53,N/A,2026-08-27
VICTORIA,GEELONG,193.07,202.95,N/A,216.82,241.48,N/A,2026-08-27
VICTORIA,MELBOURNE,193.07,202.95,194.06,216.82,241.48,N/A,2026-08-27
WESTERN AUSTRALIA,BROOME,238.93,249.52,N/A,N/A,268.90,N/A,2026-08-27
WESTERN AUSTRALIA,COCOS Island,N/A,415.58,N/A,N/A,281.84,N/A,2026-08-27
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,258.86,N/A,2026-08-27
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,243.58,N/A,2026-08-27
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,258.86,N/A,2026-08-27
WESTERN AUSTRALIA,PERTH,195.00,209.00,N/A,222.70,237.41,N/A,2026-08-27
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,267.83,N/A,2026-08-27
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,241.23,N/A,2026-08-26
NEW SOUTH WALES,SYDNEY,195.43,205.43,195.59,218.78,241.15,N/A,2026-08-26
NORTHERN TERRITORY,DARWIN,200.67,213.53,N/A,N/A,247.26,N/A,2026-08-26
QUEENSLAND,BRISBANE,193.82,203.73,194.83,217.31,239.90,245.94,2026-08-26
QUEENSLAND,CAIRNS,200.56,215.57,N/A,N/A,245.66,N/A,2026-08-26
QUEENSLAND,GLADSTONE,200.28,209.42,N/A,N/A,244.07,N/A,2026-08-26
QUEENSLAND,MACKAY,200.56,N/A,N/A,N/A,243.84,N/A,2026-08-26
QUEENSLAND,TOWNSVILLE,200.28,211.11,N/A,225.73,245.40,N/A,2026-08-26
QUEENSLAND,WEIPA,224.26,N/A,N/A,N/A,255.42,N/A,2026-08-26
SOUTH AUSTRALIA,ADELAIDE,194.37,203.93,196.02,218.55,241.29,N/A,2026-08-26
SOUTH AUSTRALIA,PORT LINCOLN,203.02,N/A,N/A,229.19,249.44,N/A,2026-08-26
TASMANIA,DEVONPORT,199.50,211.97,N/A,N/A,243.80,N/A,2026-08-26
TASMANIA,HOBART,199.58,212.03,N/A,227.24,243.08,N/A,2026-08-26
VICTORIA,GEELONG,192.96,202.86,N/A,216.74,241.07,N/A,2026-08-26
VICTORIA,MELBOURNE,192.96,202.86,193.97,216.74,241.07,N/A,2026-08-26
WESTERN AUSTRALIA,BROOME,238.34,248.93,N/A,N/A,268.41,N/A,2026-08-26
WESTERN AUSTRALIA,COCOS Island,N/A,415.54,N/A,N/A,281.49,N/A,2026-08-26
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,258.50,N/A,2026-08-26
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,243.20,N/A,2026-08-26
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,258.50,N/A,2026-08-26
WESTERN AUSTRALIA,PERTH,194.94,208.96,N/A,222.65,237.04,N/A,2026-08-26
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,267.44,N/A,2026-08-26
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,241.08,N/A,2026-08-25
NEW SOUTH WALES,SYDNEY,195.09,205.08,195.25,218.45,241.00,N/A,2026-08-25
NORTHERN TERRITORY,DARWIN,200.35,213.22,N/A,N/A,247.12,N/A,2026-08-25
QUEENSLAND,BRISBANE,193.48,203.39,194.50,216.98,239.76,245.78,2026-08-25
QUEENSLAND,CAIRNS,200.23,215.23,N/A,N/A,245.51,N/A,2026-08-25
QUEENSLAND,GLADSTONE,199.93,209.08,N/A,N/A,243.91,N/A,2026-08-25
QUEENSLAND,MACKAY,200.21,N/A,N/A,N/A,243.68,N/A,2026-08-25
QUEENSLAND,TOWNSVILLE,199.95,210.77,N/A,225.40,245.25,N/A,2026-08-25
QUEENSLAND,WEIPA,223.89,N/A,N/A,N/A,255.23,N/A,2026-08-25
SOUTH AUSTRALIA,ADELAIDE,194.04,203.60,195.68,218.23,241.13,N/A,2026-08-25
SOUTH AUSTRALIA,PORT LINCOLN,202.65,N/A,N/A,228.87,249.26,N/A,2026-08-25
TASMANIA,DEVONPORT,199.14,211.62,N/A,N/A,244.74,N/A,2026-08-25
TASMANIA,HOBART,199.23,211.67,N/A,226.90,244.01,N/A,2026-08-25
VICTORIA,GEELONG,192.63,202.53,N/A,216.43,240.91,N/A,2026-08-25
VICTORIA,MELBOURNE,192.63,202.53,193.63,216.43,240.91,N/A,2026-08-25
WESTERN AUSTRALIA,BROOME,237.74,248.35,N/A,N/A,269.32,N/A,2026-08-25
WESTERN AUSTRALIA,COCOS Island,N/A,415.25,N/A,N/A,282.38,N/A,2026-08-25
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,259.47,N/A,2026-08-25
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,244.16,N/A,2026-08-25
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,259.47,N/A,2026-08-25
WESTERN AUSTRALIA,PERTH,194.61,208.64,N/A,222.35,238.00,N/A,2026-08-25
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,268.40,N/A,2026-08-25
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,240.27,N/A,2026-08-22
NEW SOUTH WALES,SYDNEY,194.62,204.64,194.80,218.01,240.20,N/A,2026-08-22
NORTHERN TERRITORY,DARWIN,199.91,212.80,N/A,N/A,246.33,N/A,2026-08-22
QUEENSLAND,BRISBANE,193.03,202.96,194.04,216.55,238.95,245.04,2026-08-22
QUEENSLAND,CAIRNS,199.78,214.78,N/A,N/A,244.71,N/A,2026-08-22
QUEENSLAND,GLADSTONE,199.46,208.63,N/A,N/A,243.11,N/A,2026-08-22
QUEENSLAND,MACKAY,199.75,N/A,N/A,N/A,242.88,N/A,2026-08-22
QUEENSLAND,TOWNSVILLE,199.50,210.32,N/A,224.95,244.44,N/A,2026-08-22
QUEENSLAND,WEIPA,223.40,N/A,N/A,N/A,254.38,N/A,2026-08-22
SOUTH AUSTRALIA,ADELAIDE,193.59,203.17,195.22,217.80,240.33,N/A,2026-08-22
SOUTH AUSTRALIA,PORT LINCOLN,202.17,N/A,N/A,228.44,248.44,N/A,2026-08-22
TASMANIA,DEVONPORT,198.68,211.18,N/A,N/A,243.91,N/A,2026-08-22
TASMANIA,HOBART,198.77,211.23,N/A,226.46,243.19,N/A,2026-08-22
VICTORIA,GEELONG,192.17,202.09,N/A,215.99,240.12,N/A,2026-08-22
VICTORIA,MELBOURNE,192.17,202.09,193.18,215.99,240.12,N/A,2026-08-22
WESTERN AUSTRALIA,BROOME,237.04,247.67,N/A,N/A,268.48,N/A,2026-08-22
WESTERN AUSTRALIA,COCOS Island,N/A,414.86,N/A,N/A,281.67,N/A,2026-08-22
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,258.70,N/A,2026-08-22
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,243.36,N/A,2026-08-22
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,258.70,N/A,2026-08-22
WESTERN AUSTRALIA,PERTH,194.16,208.21,N/A,221.94,237.22,N/A,2026-08-22
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,267.62,N/A,2026-08-22
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,238.89,N/A,2026-08-21
NEW SOUTH WALES,SYDNEY,193.82,203.84,193.99,217.22,238.80,N/A,2026-08-21
NORTHERN TERRITORY,DARWIN,199.11,211.99,N/A,N/A,244.95,N/A,2026-08-21
QUEENSLAND,BRISBANE,192.21,202.16,193.24,215.74,237.56,243.72,2026-08-21
QUEENSLAND,CAIRNS,198.97,213.97,N/A,N/A,243.31,N/A,2026-08-21
QUEENSLAND,GLADSTONE,198.66,207.82,N/A,N/A,241.73,N/A,2026-08-21
QUEENSLAND,MACKAY,198.95,N/A,N/A,N/A,241.49,N/A,2026-08-21
QUEENSLAND,TOWNSVILLE,198.68,209.52,N/A,224.15,243.05,N/A,2026-08-21
QUEENSLAND,WEIPA,222.59,N/A,N/A,N/A,252.97,N/A,2026-08-21
SOUTH AUSTRALIA,ADELAIDE,192.78,202.36,194.41,216.99,238.92,N/A,2026-08-21
SOUTH AUSTRALIA,PORT LINCOLN,201.36,N/A,N/A,227.62,247.03,N/A,2026-08-21
TASMANIA,DEVONPORT,197.87,210.36,N/A,N/A,242.52,N/A,2026-08-21
TASMANIA,HOBART,197.96,210.42,N/A,225.65,241.79,N/A,2026-08-21
VICTORIA,GEELONG,191.37,201.29,N/A,215.19,238.72,N/A,2026-08-21
VICTORIA,MELBOURNE,191.37,201.29,192.38,215.19,238.72,N/A,2026-08-21
WESTERN AUSTRALIA,BROOME,236.09,246.73,N/A,N/A,267.06,N/A,2026-08-21
WESTERN AUSTRALIA,COCOS Island,N/A,414.13,N/A,N/A,280.41,N/A,2026-08-21
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,257.30,N/A,2026-08-21
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,241.98,N/A,2026-08-21
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,257.30,N/A,2026-08-21
WESTERN AUSTRALIA,PERTH,193.36,207.41,N/A,221.13,235.83,N/A,2026-08-21
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,266.22,N/A,2026-08-21
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,238.13,N/A,2026-08-20
NEW SOUTH WALES,SYDNEY,193.63,203.67,193.80,217.05,238.04,N/A,2026-08-20
NORTHERN TERRITORY,DARWIN,198.94,211.83,N/A,N/A,244.18,N/A,2026-08-20
QUEENSLAND,BRISBANE,192.02,201.97,193.04,215.57,236.79,243.00,2026-08-20
QUEENSLAND,CAIRNS,198.78,213.81,N/A,N/A,242.55,N/A,2026-08-20
QUEENSLAND,GLADSTONE,198.48,207.66,N/A,N/A,240.97,N/A,2026-08-20
QUEENSLAND,MACKAY,198.77,N/A,N/A,N/A,240.74,N/A,2026-08-20
QUEENSLAND,TOWNSVILLE,198.50,209.35,N/A,223.98,242.29,N/A,2026-08-20
QUEENSLAND,WEIPA,222.41,N/A,N/A,N/A,252.22,N/A,2026-08-20
SOUTH AUSTRALIA,ADELAIDE,192.58,202.18,194.22,216.82,238.16,N/A,2026-08-20
SOUTH AUSTRALIA,PORT LINCOLN,201.17,N/A,N/A,227.46,246.28,N/A,2026-08-20
TASMANIA,DEVONPORT,197.68,210.19,N/A,N/A,241.76,N/A,2026-08-20
TASMANIA,HOBART,197.77,210.24,N/A,225.49,241.03,N/A,2026-08-20
VICTORIA,GEELONG,191.18,201.11,N/A,215.03,237.96,N/A,2026-08-20
VICTORIA,MELBOURNE,191.18,201.11,192.19,215.03,237.96,N/A,2026-08-20
WESTERN AUSTRALIA,BROOME,236.01,246.65,N/A,N/A,266.31,N/A,2026-08-20
WESTERN AUSTRALIA,COCOS Island,N/A,413.96,N/A,N/A,279.71,N/A,2026-08-20
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,256.53,N/A,2026-08-20
