date,state,location,fuel_type,price_cpl
2025-12-11,VIC,Melbourne,diesel,162.2
2025-12-11,VIC,Melbourne,e10,160.2
2025-12-11,VIC,Melbourne,p95,167.0
2025-12-11,VIC,Melbourne,p98,181.7
2025-12-11,VIC,Melbourne,ulp91,159.0
2025-12-11,WA,Broome,diesel,193.7
2025-12-11,WA,Broome,p95,215.0
2025-12-11,WA,Broome,ulp91,205.1
2025-12-11,WA,Cocos Island,diesel,212.9
2025-12-11,WA,Cocos Island,p95,376.9
2025-12-11,WA,Dampier,diesel,183.5
2025-12-11,WA,Esperance,diesel,166.4
2025-12-11,WA,King Bay,diesel,183.5
2025-12-11,WA,Perth,diesel,162.7
2025-12-11,WA,Perth,p95,172.9
2025-12-11,WA,Perth,p98,187.4
2025-12-11,WA,Perth,ulp91,160.8
2025-12-11,WA,Port Hedland,diesel,191.0
2025-12-11,WA,Port Hedland,ulp91,188.2
2025-12-12,NSW,Newcastle,diesel,162.4
2025-12-12,NSW,Sydney,diesel,162.3
2025-12-12,NSW,Sydney,e10,161.1
2025-12-12,NSW,Sydney,p95,168.7
2025-12-12,NSW,Sydney,p98,182.8
2025-12-12,NSW,Sydney,ulp91,160.7
2025-12-12,NT,Darwin,diesel,168.0
2025-12-12,NT,Darwin,p95,174.4
2025-12-12,NT,Darwin,ulp91,165.2
2025-12-12,QLD,Brisbane,b5,169.5
2025-12-12,QLD,Brisbane,diesel,161.1
2025-12-12,QLD,Brisbane,e10,160.0
2025-12-12,QLD,Brisbane,p95,166.9
2025-12-12,QLD,Brisbane,p98,181.2
2025-12-12,QLD,Brisbane,ulp91,158.9
2025-12-12,QLD,Cairns,diesel,166.6
2025-12-12,QLD,Cairns,p95,179.2
2025-12-12,QLD,Cairns,ulp91,165.2
2025-12-12,QLD,Gladstone,diesel,164.9
2025-12-12,QLD,Gladstone,p95,172.8
2025-12-12,QLD,Gladstone,ulp91,164.7
2025-12-12,QLD,Mackay,diesel,165.0
2025-12-12,QLD,Mackay,ulp91,165.3
2025-12-12,QLD,Townsville,diesel,166.1
2025-12-12,QLD,Townsville,p95,174.4
2025-12-12,QLD,Townsville,p98,191.6
2025-12-12,QLD,Townsville,ulp91,164.6
2025-12-12,QLD,Weipa,diesel,175.8
2025-12-12,QLD,Weipa,ulp91,187.7
2025-12-12,SA,Adelaide,diesel,162.9
2025-12-12,SA,Adelaide,e10,161.8
2025-12-12,SA,Adelaide,p95,169.3
2025-12-12,SA,Adelaide,p98,184.6
2025-12-12,SA,Adelaide,ulp91,160.0
2025-12-12,SA,Port Lincoln,diesel,169.9
2025-12-12,SA,Port Lincoln,p98,193.8
2025-12-12,SA,Port Lincoln,ulp91,166.4
2025-12-12,TAS,Devonport,diesel,168.5
2025-12-12,TAS,Devonport,p95,175.1
2025-12-12,TAS,Devonport,ulp91,164.5
2025-12-12,TAS,Hobart,diesel,167.9
2025-12-12,TAS,Hobart,p95,175.1
2025-12-12,TAS,Hobart,p98,191.1
2025-12-12,TAS,Hobart,ulp91,164.6
2025-12-12,VIC,Geelong,diesel,161.4
2025-12-12,VIC,Geelong,p95,166.0
2025-12-12,VIC,Geelong,p98,180.7
2025-12-12,VIC,Geelong,ulp91,158.0
2025-12-12,VIC,Melbourne,diesel,161.4
2025-12-12,VIC,Melbourne,e10,159.2
2025-12-12,VIC,Melbourne,p95,166.0
2025-12-12,VIC,Melbourne,p98,180.7
2025-12-12,VIC,Melbourne,ulp91,158.0
2025-12-12,WA,Broome,diesel,192.8
2025-12-12,WA,Broome,p95,213.7
2025-12-12,WA,Broome,ulp91,203.8
2025-12-12,WA,Cocos Island,diesel,212.2
2025-12-12,WA,Cocos Island,p95,376.1
2025-12-12,WA,Dampier,diesel,182.7
2025-12-12,WA,Esperance,diesel,165.5
2025-12-12,WA,King Bay,diesel,182.7
2025-12-12,WA,Perth,diesel,161.8
2025-12-12,WA,Perth,p95,172.0
2025-12-12,WA,Perth,p98,186.5
2025-12-12,WA,Perth,ulp91,159.9
2025-12-12,WA,Port Hedland,diesel,190.1
2025-12-12,WA,Port Hedland,ulp91,187.1
2025-12-13,NSW,Newcastle,diesel,161.8
2025-12-13,NSW,Sydney,diesel,161.7
2025-12-13,NSW,Sydney,e10,160.6
2025-12-13,NSW,Sydney,p95,168.3
2025-12-13,NSW,Sydney,p98,182.4
2025-12-13,NSW,Sydney,ulp91,160.2
2025-12-13,NT,Darwin,diesel,167.4
2025-12-13,NT,Darwin,p95,174.0
2025-12-13,NT,Darwin,ulp91,164.8
2025-12-13,QLD,Brisbane,b5,168.9
2025-12-13,QLD,Brisbane,diesel,160.5
2025-12-13,QLD,Brisbane,e10,159.6
2025-12-13,QLD,Brisbane,p95,166.4
2025-12-13,QLD,Brisbane,p98,180.8
2025-12-13,QLD,Brisbane,ulp91,158.4
2025-12-13,QLD,Cairns,diesel,166.0
2025-12-13,QLD,Cairns,p95,178.8
